696.00	6.30
697.00	4.23
698.00	6.42
699.00	5.16
700.00	6.87
701.00	10.13
702.00	12.99
703.00	21.19
704.00	43.37
705.00	101.73
706.00	344.76
707.00	2701.82
708.00	3096.69
709.00	1305.04
710.00	583.81
711.00	125.52
712.00	45.60
713.00	23.24
714.00	13.44
715.00	8.43
716.00	5.67
717.00	4.19
718.00	5.40
719.00	5.33
720.00	2.50
721.00	2.93
722.00	4.00
723.00	4.43
724.00	2.61
725.00	3.04
726.00	5.16
727.00	10.08
728.00	39.16
729.00	346.82
730.00	151.92
731.00	69.83
732.00	28.49
733.00	6.88
734.00	6.91
735.00	3.27
736.00	0.44
737.00	0.81
738.00	0.34
739.00	0.65
740.00	0.60
741.00	1.65
742.00	0.33
743.00	0.05
744.00	0.91
745.00	0.89
746.00	-0.09
747.00	0.22
748.00	1.32
749.00	-1.69
750.00	-0.70
751.00	-1.76
752.00	0.45
753.00	2.09
754.00	2.34
755.00	0.48
756.00	-0.33
757.00	0.35
758.00	-0.16
759.00	1.39
760.00	-0.06
761.00	2.19
762.00	0.25
763.00	0.11
764.00	3.66
765.00	0.19
766.00	1.42
767.00	-0.39
768.00	1.04
769.00	0.71
770.00	-0.77
771.00	1.51
772.00	0.22
773.00	1.13
774.00	-0.48
775.00	1.20
776.00	-0.65
777.00	2.54
778.00	28.35
779.00	30.42
780.00	11.69
781.00	4.67
782.00	1.92
783.00	0.49
784.00	1.18
785.00	0.09
786.00	1.26
787.00	-0.84
788.00	2.19
789.00	0.81
790.00	0.34
791.00	-0.88
792.00	0.80
793.00	0.72
794.00	-0.69
795.00	0.89
796.00	1.13
797.00	0.38
798.00	-0.72
799.00	-0.14
800.00	-1.21
801.00	-1.30
802.00	-1.41
803.00	0.17
804.00	-0.98
805.00	-0.02
806.00	1.05
807.00	-0.13
808.00	0.34
809.00	-2.20
810.00	1.13
811.00	-1.95
812.00	-0.34
813.00	1.03
814.00	-1.25
815.00	1.02
816.00	-0.18
817.00	-1.27
818.00	0.26
819.00	0.85
820.00	-0.45
821.00	2.52
822.00	-0.59
823.00	1.03
824.00	-1.70
825.00	0.53
826.00	-0.11
827.00	0.05
828.00	-0.76
829.00	-1.21
830.00	-0.32
831.00	-0.97
832.00	1.50
833.00	0.30
834.00	-1.40
835.00	0.65
836.00	0.54
837.00	0.07
838.00	1.12
839.00	-0.04
840.00	0.06
841.00	-0.78
842.00	-1.54
843.00	-1.60
844.00	0.43
845.00	1.88
846.00	8.03
847.00	4.03
848.00	0.09
849.00	-1.04
850.00	0.55
851.00	-0.32
852.00	0.32
853.00	0.01
854.00	-0.45
855.00	-0.22
856.00	-1.81
857.00	-0.80
858.00	2.54
859.00	0.52
860.00	-1.15
861.00	-1.35
862.00	1.26
863.00	-0.71
864.00	-0.08
865.00	-0.70
866.00	-0.76
867.00	-0.20
868.00	1.38
869.00	0.53
870.00	0.15
871.00	-1.30
872.00	-0.21
873.00	-1.54
874.00	-1.20
875.00	-1.21
876.00	0.26
877.00	-0.92
878.00	-0.76
879.00	-1.04
880.00	0.06
881.00	-0.90
882.00	1.58
883.00	0.81
884.00	-1.42
885.00	1.15
886.00	-0.79
887.00	-0.63
888.00	-0.65
889.00	1.77
890.00	-0.79
891.00	-1.17
892.00	-2.22
893.00	0.37
894.00	-1.20
895.00	-0.60
896.00	-0.88
897.00	0.63
898.00	0.31
899.00	-1.37
900.00	1.69
901.00	2.13
902.00	-0.46
903.00	1.90
904.00	0.24
905.00	-1.23
906.00	-0.04
907.00	1.50
908.00	0.82
909.00	-0.11
910.00	-1.19
911.00	-0.85
912.00	-0.32
913.00	-1.30
914.00	-0.27
915.00	0.08
916.00	0.77
917.00	-2.23
918.00	-0.39
919.00	-1.03
920.00	-1.03
921.00	0.20
922.00	-0.45
923.00	0.98
924.00	-0.85
925.00	-0.05
926.00	-0.85
927.00	0.05
928.00	1.78
929.00	1.19
930.00	1.77
931.00	-0.53
932.00	-0.47
933.00	-0.70
934.00	1.62
935.00	2.49
936.00	-0.20
937.00	0.98
938.00	-0.28
939.00	-0.69
940.00	1.36
941.00	0.29
942.00	-0.11
943.00	0.84
944.00	-2.31
