350.00	2.85
351.00	3.78
352.00	3.21
353.00	3.25
354.00	3.52
355.00	2.92
356.00	2.07
357.00	1.55
358.00	1.64
359.00	-0.94
360.00	1.57
361.00	2.31
362.00	2.44
363.00	3.15
364.00	1.54
365.00	1.17
366.00	3.40
367.00	3.26
368.00	2.15
369.00	2.22
370.00	5.14
371.00	1.53
372.00	2.22
373.00	1.08
374.00	2.40
375.00	2.57
376.00	2.00
377.00	3.38
378.00	2.19
379.00	1.78
380.00	0.11
381.00	1.46
382.00	2.93
383.00	1.59
384.00	0.25
385.00	0.58
386.00	1.64
387.00	2.09
388.00	2.63
389.00	2.88
390.00	0.30
391.00	2.81
392.00	2.30
393.00	1.28
394.00	1.83
395.00	3.19
396.00	0.45
397.00	2.45
398.00	2.95
399.00	3.90
400.00	2.10
401.00	3.08
402.00	2.32
403.00	2.06
404.00	2.61
405.00	1.02
406.00	4.21
407.00	2.93
408.00	1.25
409.00	3.38
410.00	2.49
411.00	2.05
412.00	3.70
413.00	5.14
414.00	4.22
415.00	2.83
416.00	2.76
417.00	5.06
418.00	4.25
419.00	4.17
420.00	3.64
421.00	2.37
422.00	1.63
423.00	4.61
424.00	2.99
425.00	4.89
426.00	4.71
427.00	5.92
428.00	4.72
429.00	4.53
430.00	3.45
431.00	3.88
432.00	3.19
433.00	3.14
434.00	6.50
435.00	4.26
436.00	4.30
437.00	6.50
438.00	6.10
439.00	6.46
440.00	6.34
441.00	5.07
442.00	8.29
443.00	6.48
444.00	7.42
445.00	6.82
446.00	8.70
447.00	7.33
448.00	8.64
449.00	5.56
450.00	9.13
451.00	8.73
452.00	8.77
453.00	7.05
454.00	8.08
455.00	9.59
456.00	9.72
457.00	9.37
458.00	10.37
459.00	9.97
460.00	9.74
461.00	11.27
462.00	11.70
463.00	11.40
464.00	12.39
465.00	12.22
466.00	11.79
467.00	14.24
468.00	15.06
469.00	16.56
470.00	16.04
471.00	17.33
472.00	16.89
473.00	16.15
474.00	17.08
475.00	15.96
476.00	19.57
477.00	20.43
478.00	20.70
479.00	24.16
480.00	22.67
481.00	25.95
482.00	29.14
483.00	28.31
484.00	29.84
485.00	29.24
486.00	32.14
487.00	34.02
488.00	37.01
489.00	41.32
490.00	43.05
491.00	45.24
492.00	46.45
493.00	47.18
494.00	49.28
495.00	52.30
496.00	55.01
497.00	58.11
498.00	58.67
499.00	60.83
500.00	61.24
501.00	62.95
502.00	64.35
503.00	67.17
504.00	69.64
505.00	73.85
506.00	74.98
507.00	75.40
508.00	78.05
509.00	82.19
510.00	80.75
511.00	82.72
512.00	87.80
513.00	88.99
514.00	87.84
515.00	92.76
516.00	96.42
517.00	98.19
518.00	103.61
519.00	101.38
520.00	106.45
521.00	106.62
522.00	109.25
523.00	110.97
524.00	116.86
525.00	118.62
526.00	122.63
527.00	123.87
528.00	130.14
529.00	131.70
530.00	137.44
531.00	139.80
532.00	142.21
533.00	146.18
534.00	150.92
535.00	153.49
536.00	158.82
537.00	160.00
538.00	164.96
539.00	166.72
540.00	171.43
541.00	176.32
542.00	176.58
543.00	186.76
544.00	188.18
545.00	189.67
546.00	191.77
547.00	199.89
548.00	202.67
549.00	205.73
550.00	211.07
551.00	215.28
552.00	219.38
553.00	219.94
554.00	228.10
555.00	233.44
556.00	237.57
557.00	237.16
558.00	240.55
559.00	251.77
560.00	251.26
561.00	255.02
562.00	260.46
563.00	265.87
564.00	266.37
565.00	273.10
566.00	278.62
567.00	285.37
568.00	286.49
569.00	291.58
570.00	299.68
571.00	302.49
572.00	304.59
573.00	312.19
574.00	315.14
575.00	316.89
576.00	322.12
577.00	332.83
578.00	329.01
579.00	339.39
580.00	341.71
581.00	346.35
582.00	349.15
583.00	355.69
584.00	359.79
585.00	367.29
586.00	368.24
587.00	376.39
588.00	380.60
589.00	388.10
590.00	392.28
591.00	396.13
592.00	400.31
593.00	402.37
594.00	410.82
595.00	413.73
596.00	420.43
597.00	430.30
598.00	431.12
599.00	438.04
600.00	444.58
601.00	456.49
602.00	454.73
603.00	466.72
604.00	470.57
605.00	474.24
606.00	483.43
607.00	484.97
608.00	493.76
609.00	497.91
610.00	502.35
611.00	508.53
612.00	515.23
613.00	521.67
614.00	531.47
615.00	536.98
616.00	537.96
617.00	548.28
618.00	546.66
619.00	549.62
620.00	558.41
621.00	563.12
622.00	570.13
623.00	571.45
624.00	579.35
625.00	569.61
626.00	584.19
627.00	593.07
628.00	594.38
629.00	580.96
630.00	607.07
631.00	609.25
632.00	613.96
633.00	627.66
634.00	629.18
635.00	625.13
636.00	632.73
637.00	649.81
